0,,F72,
1,,F54,
2,,F55,
3,,F25,
6,,F65,
7,,F64,
9,,F34,
12,,F68,
13,,F101,
14,,F102,
15,,F103,
18,,F107,
19,,F108,
52,,F3-FileOutputStream,
55,,F3-String,
114,,F2-File,
213,,F15-public,
275,,F94,
276,,F95,
277,,F21,
278,,F109,
279,,F20,
280,,F23,
281,,F22,
282,,F79,
283,,F111,
285,,F113,
286,,F116,
287,,F117,
289,,F119,
290,,F120,
291,,F110,
292,,F121,
293,,F122,
294,,F123,
295,,F114,
296,,F115,
297,,F61,
298,,F77,
299,,F88,
308,,F126,
309,,F127,
311,,F129,
315,,F131,
317,,F132,
324,,F137,
325,,F83,
328,,F71-sergey@apache.org,
329,,F71-klute@apache.org,
332,,F71-glens@apache.org,
333,,F71-sackley@apache.org,
337,,F71-jheight@apache.org,
341,,F71-josh@apache.org,
343,,F71-avik@apache.org,
346,,F74,
348,,F84,
349,,F146,
350,,category,
original feature size,351
refined feature size,57
